"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","16-MAY-17","15-MAY-17","23:45:00Z","FIREBAUGH","CALIFORNIA","UNITED STATES","AIRCRAFT LANDED GEAR UP, WENT OFF THE RUNWAY, THROUGH A FENCE AND INTO A FIELD, FIREBAUGH, CA","ACCIDENT","FRESNO","N846PM","","","LANCAIR","LANCAIR EVOLUTION","No","SUBSTANTIAL","UNKNOWN","LANDING (LDG)","","SERIOUS","No","0","0","0","0","2","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0"
"No","17-MAY-17","15-MAY-17","20:00:00Z","SOUTH BOSTON","VIRGINIA","UNITED STATES","AIRCRAFT ON LANDING GROUND LOOPED, SOUTH BOSTON, VA","ACCIDENT","RICHMOND","N31JP","","","PIPER","PA22","No","SUBSTANTIAL","UNKNOWN","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","17-MAY-17","17-MAY-17","00:32:00Z","WEST CREEK","NEW JERSEY","UNITED STATES","AIRCRAFT ON APPROACH, LANDED IN THE TREES SHORT OF THE RUNWAY, NEAR WEST CREEK, NJ","ACCIDENT","PHILADELPHIA","N9366K","","","STINSON","108","No","SUBSTANTIAL","UNKNOWN","APPROACH (APR)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-MAY-17","16-MAY-17","13:30:00Z","KENDALLVILLE","INDIANA","UNITED STATES","AIRCRAFT ON LANDING, GROUND LOOPED, KENDALLVILLE, IN","INCIDENT","GRAND RAPIDS","N289RB","","","EXPERIMENTAL BEACHY","MODEL II","No","MINOR","INSTRUCTION","LANDING (LDG)","","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-17","08-MAY-17","15:00:00Z","GRANBURY","TEXAS","UNITED STATES","AIRCRAFT FORCE LANDED IN A WOODED AREA 12 MILES FROM GRANBURY, TX","ACCIDENT","FORT WORTH","N18925","","","BEECH","B19","No","SUBSTANTIAL","INSTRUCTION","LANDING (LDG)","","MINOR","No","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-17","08-MAY-17","20:37:00Z","COEUR D ALENE","IDAHO","UNITED STATES","AIRCRAFT ON LANDING WENT OFF THE RUNWAY AND CRASHED INTO THE FIELD, COEUR D ALENE, ID","ACCIDENT","SPOKANE","N245KW","","","PIPER","PA18","No","SUBSTANTIAL","UNKNOWN","LANDING (LDG)","","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-17","08-MAY-17","14:15:00Z","WALNUT RIDGE","ARKANSAS","UNITED STATES","AIRCRAFT ON LANDING WENT OFF THE RUNWAY AND FLIPPED OVER, WALNUT RIDGE, AR","ACCIDENT","LITTLE ROCK","N6944K","","","GRUMMAN","G164B","No","SUBSTANTIAL","AERIAL APPLICATION","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","18-MAY-17","17-MAY-17","20:00:00Z","MCARTHURE","OHIO","UNITED STATES","A/C LANDED ONG RUNWAY 9 AND STRUCK TREES OFF RUNWAY.","ACCIDENT","CVG FSDO","N5788V","","","BEECH","A35","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-MAY-17","12-MAY-17","17:05:00Z","HOPKINSVILLE","KENTUCKY","UNITED STATES","AIRCRAFT CRASHED INTO A WOODED AREA, THE 2 PERSONS ON BOARD WERE FATALLY INJURED, WRECKAGE LOCATED NEAR HOPKINSVILLE, KY","ACCIDENT","MEMPHIS","N1804E","","","BEECH","BE36","No","DESTROYED","UNKNOWN","UNKNOWN (UNK)","","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","15-MAY-17","12-MAY-17","22:30:00Z","MONUMENT VALLEY","UTAH","UNITED STATES","AIRCRAFT ON A GO-AROUND,  STRUCK A FENCE AND THE GEAR COLLAPSED, MONUMENT VALLEY, UT","ACCIDENT","SALT LAKE CITY","N9390E","","","CESSNA","C172","No","SUBSTANTIAL","UNKNOWN","UNKNOWN (UNK)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
